deltaQ (pC),deltaM (g),deltaT (s),mass jump indices,mid plateau indices,trial
0.25692999999999877,0.04599999999999993,8.278970241546688,554.0,565.0,1113_350ulm_2.5V_ni_10cm_02.csv
0.1802400000000013,0.04700000000000004,7.931012868881197,577.0,588.0,1113_350ulm_2.5V_ni_10cm_02.csv
0.3404499999999988,0.04700000000000004,7.934003829956055,600.0,612.0,1113_350ulm_2.5V_ni_10cm_02.csv
0.3555399999999995,0.04699999999999993,8.279000997543307,624.0,636.0,1113_350ulm_2.5V_ni_10cm_02.csv
0.30860999999999983,0.04400000000000004,8.623998403549194,649.0,661.0,1113_350ulm_2.5V_ni_10cm_02.csv
0.2784399999999998,0.04800000000000004,8.278512716293363,673.0,685.0,1113_350ulm_2.5V_ni_10cm_02.csv
0.33217999999999925,0.04699999999999993,8.27949023246768,697.0,709.0,1113_350ulm_2.5V_ni_10cm_02.csv
0.3443699999999996,0.04899999999999993,8.278998613357516,721.0,732.0,1113_350ulm_2.5V_ni_10cm_02.csv
0.28794000000000075,0.04700000000000015,7.929999351501465,744.0,755.0,1113_350ulm_2.5V_ni_10cm_02.csv
0.27057999999999893,0.04699999999999993,7.932976484298706,767.0,778.0,1113_350ulm_2.5V_ni_10cm_02.csv
0.26499000000000095,0.04699999999999993,7.588047742843628,789.0,800.0,1113_350ulm_2.5V_ni_10cm_02.csv
0.25652000000000186,0.049000000000000155,7.934001922607422,812.0,824.0,1113_350ulm_2.5V_ni_10cm_02.csv
0.3619399999999988,0.04699999999999993,8.278489112854004,836.0,847.0,1113_350ulm_2.5V_ni_10cm_02.csv
0.3131699999999995,0.04699999999999993,7.934002637863159,859.0,871.0,1113_350ulm_2.5V_ni_10cm_02.csv
0.2788399999999971,0.050000000000000044,8.279003858566284,883.0,896.0,1113_350ulm_2.5V_ni_10cm_02.csv
0.34540999999999755,0.04600000000000004,9.310997247695923,910.0,922.0,1113_350ulm_2.5V_ni_10cm_02.csv
0.25465999999999767,0.04499999999999993,8.6240074634552,935.0,946.0,1113_350ulm_2.5V_ni_10cm_02.csv
0.16868000000000194,0.049000000000000155,7.589485168457088,957.0,968.0,1113_350ulm_2.5V_ni_10cm_02.csv
0.2689200000000014,0.04599999999999982,7.934975862502995,980.0,992.0,1113_350ulm_2.5V_ni_10cm_02.csv
0.3201900000000002,0.04800000000000004,8.624482393264714,1005.0,1017.0,1113_350ulm_2.5V_ni_10cm_02.csv
0.2834100000000035,0.04600000000000004,8.279480218887386,1029.0,1041.0,1113_350ulm_2.5V_ni_10cm_02.csv
0.2951900000000016,0.04499999999999993,8.279488563537598,1053.0,1065.0,1113_350ulm_2.5V_ni_10cm_02.csv
0.27346000000000004,0.04700000000000015,8.279000759124756,1077.0,1102.0,1113_350ulm_2.5V_ni_10cm_02.csv
0.334245,0.045,0.0,108.0,119.0,1113_350ulm_2.5V_ni_10cm_03.csv
0.25176900000000035,0.049,7.93029332160949,131.0,142.0,1113_350ulm_2.5V_ni_10cm_03.csv
0.24659999999999993,0.04799999999999999,7.589492321014404,153.0,164.0,1113_350ulm_2.5V_ni_10cm_03.csv
0.25238799999999983,0.047000000000000014,7.93497371673584,176.0,187.0,1113_350ulm_2.5V_ni_10cm_03.csv
0.3123339999999999,0.046999999999999986,7.930492639541626,199.0,210.0,1113_350ulm_2.5V_ni_10cm_03.csv
0.3127469999999999,0.04799999999999999,7.93448281288147,222.0,233.0,1113_350ulm_2.5V_ni_10cm_03.csv
0.3367240000000007,0.04800000000000004,7.93400502204895,245.0,257.0,1113_350ulm_2.5V_ni_10cm_03.csv
0.30943899999999935,0.04799999999999999,8.279482841491713,269.0,281.0,1113_350ulm_2.5V_ni_10cm_03.csv
0.2666509999999995,0.046999999999999986,8.624970436096177,294.0,306.0,1113_350ulm_2.5V_ni_10cm_03.csv
0.33507200000000026,0.04799999999999999,8.620511531829834,319.0,331.0,1113_350ulm_2.5V_ni_10cm_03.csv
0.3472690000000007,0.04800000000000004,8.27948260307312,343.0,355.0,1113_350ulm_2.5V_ni_10cm_03.csv
0.3485100000000001,0.04599999999999993,8.276996374130249,367.0,379.0,1113_350ulm_2.5V_ni_10cm_03.csv
